ds,Predicted Cases,Crime Type
2021-12-31,6268.306286588324,Cattle Theft
2022-12-31,6091.7864101434725,Cattle Theft
2023-12-31,5915.266533698623,Cattle Theft
2024-12-31,5738.263041153923,Cattle Theft
2010-01-01,36192.839364,Other Theft
2011-01-01,35134.61231363855,Other Theft
2012-01-01,34076.38526757597,Other Theft
2013-01-01,33015.258964426306,Other Theft
2014-01-01,31957.031906652453,Other Theft
2015-01-01,30898.804845401817,Other Theft
2016-01-01,29840.577780576576,Other Theft
2017-01-01,28779.45146189171,Other Theft
2018-01-01,27721.22439205086,Other Theft
2019-01-01,26662.997322210005,Other Theft
2020-01-01,25604.77025236915,Other Theft
2020-12-31,24546.543182528298,Other Theft
2021-12-31,23488.316112687447,Other Theft
2022-12-31,22430.089042846594,Other Theft
2023-12-31,21371.86197300574,Other Theft
2024-12-31,20310.73565091875,Other Theft
2010-01-01,477966.00688199996,Others
2011-01-01,494149.38652371685,Others
2012-01-01,510332.7707397342,Others
2013-01-01,526560.5008638522,Others
2014-01-01,542747.6506806529,Others
2015-01-01,558942.0442416496,Others
2016-01-01,575159.8316844655,Others
2017-01-01,591450.6762317696,Others
2018-01-01,607700.2363681608,Others
2019-01-01,623949.7965045521,Others
2020-01-01,640199.3566409432,Others
2020-12-31,656448.9167773344,Others
2021-12-31,672698.4769137256,Others
2022-12-31,688948.0370501169,Others
2023-12-31,705197.597186508,Others
2024-12-31,721491.6766657387,Others
